Κωδικός,Ρόλος,Κατάσταση,Κεφάλαια,Θέματα,Εξαγωγή,Σημείωση
SRC-04D061C2E0,απόρριψη,επαληθευμένη,"","AI Safety Gridworlds; safety unit tests; MSc thesis; distribution shift; redundancy",όχι,"Χρήσιμη αλλά redundant MSc μεθοδολογία χαμηλότερου evidence tier· οι αρχές diagnostic testing καλύπτονται ήδη."
SRC-3275F3E7B0,απόρριψη,επαληθευμένη,"","FrozenLake; Gymnasium documentation; slippery actions; custom maps; implementation",όχι,"Διατηρείται ως implementation reference· documentation page χωρίς scientific resilience evaluation."
SRC-2C9FFED27E,υποστηρικτική,επαληθευμένη,"Safe RL; Robust constraints; Policy optimization; Computational trade-offs; Threats to validity","RCMDP; RNPG; robust feasibility; constraint violation; model mismatch; iteration complexity",ναι,"Canonical NeurIPS πηγή για robust feasibility και χωριστή worst-case αξιολόγηση task/constraints· δεν είναι adaptation mechanism."
SRC-7313A97A30,υποστηρικτική,επαληθευμένη,"Robust baselines; Uncertainty-set design; Tabular RL; Agent architectures; Trade-offs","practical uncertainty set; ARQ-Learning; pessimistic agent; robust Q-learning; conservativeness",ναι,"Τεκμηριώνει sensitivity στο uncertainty-set specification και nominal–pessimistic ablation· abstract-level evidence."
SRC-C90D59EC8C,υποστηρικτική,επαληθευμένη,"Exploration; Coverage; Structured perturbations; Robust baselines; Μετρικές; Threats to validity","state entropy; policy entropy; visitation counts; spatial perturbation; rollout sensitivity",ναι,"Υποστηρίζει tabular state-coverage ablation για structured changes· δεν είναι detector ή safe-exploration guarantee."
SRC-54E00B5A43,απόρριψη,επαληθευμένη,"","duplicate edition; RCMDP; RNPG; arXiv; NeurIPS 2025",όχι,"ArXiv/HTML έκδοση της ίδιας εργασίας με το canonical SRC-2C9FFED27E."
SRC-3EF7E5F425,απόρριψη,επαληθευμένη,"","FARR; adversarial environment design; PSRO; feasible tasks; GridWorld",όχι,"Υψηλής ποιότητας αλλά βαριά adversarial curriculum μέθοδος, redundant με επιλεγμένες UED/solvability πηγές και εκτός βασικού online-adaptation scope."
SRC-A784C81711,απόρριψη,επαληθευμένη,"","duplicate; FARR; hosted copy",όχι,"Ίδιο FARR paper με το SRC-3EF7E5F425· δεν μετρά ως ανεξάρτητη πηγή."
SRC-0A4446E662,απόρριψη,επαληθευμένη,"","generalized OOD detection; supervised classification; anomaly detection; survey",όχι,"Broad supervised survey χωρίς trajectory-level RL detection/adaptation evidence· οι αναγκαίες έννοιες καλύπτονται ήδη."
SRC-A566FE1E98,απόρριψη,επαληθευμένη,"","rliable; software repository; bootstrap; IQM; performance profiles",όχι,"Implementation dependency· τα scientific claims καλύπτονται από το canonical NeurIPS paper SRC-0A4AFAC8E9."
SRC-1D5EA31EEF,απόρριψη,επαληθευμένη,"","AI Safety Gridworlds; GitHub; archived repository; implementation",όχι,"Archive/implementation resource· οι scientific safety-gridworld claims καλύπτονται από canonical papers."
SRC-642F9F639D,απόρριψη,επαληθευμένη,"","MiniGrid; GitHub repository; Gymnasium; implementation dependency",όχι,"Implementation source with version pinning· η επιστημονική environment τεκμηρίωση καλύπτεται από SRC-A4DC00B75B."
SRC-8F1C2D6CE4,υποστηρικτική,επαληθευμένη,"Neural agents; Robust policy learning; Capacity; Computational trade-offs; Threats to validity","AdaRL; adaptive rank; low-rank policy; epistemic dynamics uncertainty; bias variance; Wasserstein",ναι,"Optional neural background για capacity–uncertainty trade-offs· arXiv/MuJoCo evidence, όχι tabular recovery mechanism."
SRC-E9D551F27C,υποστηρικτική,επαληθευμένη,"Robust training; Curriculum; Hyperparameter protocol; Generalization; Threats to validity","DR-SPCRL; robustness budget; self-paced curriculum; perturbation severity; conservativeness",ναι,"Development-only adaptive robustness-budget schedule· δεν είναι deployment adaptation και απαιτεί held-out severity tests."
SRC-7C18826BEE,υπόβαθρο,επαληθευμένη,"Uncertainty quantification; Neural agents; Exploration; Detection diagnostics; Threats to validity","MC dropout; approximate Bayesian inference; predictive variance; epistemic uncertainty; stochastic passes",ναι,"Foundational neural UQ source· optional μόνο εάν προστεθεί neural function approximation, όχι tabular default."
SRC-A3CF75E7FD,απόρριψη,επαληθευμένη,"","safe online RL; offline data; seminar transcript; Lyapunov density model",όχι,"YouTube transcript με transcription errors· χρησιμοποιείται μόνο για discovery των primary papers."
SRC-781B58434A,απόρριψη,επαληθευμένη,"","doctoral thesis; uncertainty quantification; ensembles; RND; metadata",όχι,"Υψηλής αξίας umbrella dissertation αλλά διαθέσιμο μόνο metadata/abstract record· προτιμώνται οι επιμέρους primary papers."
SRC-93384F0217,απόρριψη,επαληθευμένη,"","DIAYN; unsupervised skill discovery; mutual information; hierarchical RL",όχι,"Θεμελιώδης skill-discovery εργασία αλλά εκτός controlled online-change και resource-aware baseline scope."
SRC-2CEF0D3E68,απόρριψη,επαληθευμένη,"","Enhanced POET; open-ended learning; population; environment generation; goal switching",όχι,"Open-ended population-based framework με δυσανάλογο scope· diversity/solvability καλύπτονται από canonical benchmark sources."
SRC-49CA580DE9,απόρριψη,επαληθευμένη,"","multi-agent emergence; specification misalignment; Markov games; GridWorld",όχι,"Αφορά emergent failures από interactions πολλών agents και όχι single-agent exogenous environmental shifts."
SRC-CD31230403,απόρριψη,επαληθευμένη,"","adversarial DRL; attacks; defenses; security survey",όχι,"Malicious attacker threat model εκτός του βασικού non-adversarial uncertainty scope."
SRC-55EB060C37,απόρριψη,επαληθευμένη,"","IEEE CAI; ethics vertical; trustworthy AI; event page",όχι,"Conference scope page χωρίς peer-reviewed RL definitions, experiments ή metrics."
SRC-52E62452B8,κύρια,επαληθευμένη,"Θεωρητικό υπόβαθρο; Robust MDPs; Baselines; Trade-offs; Threats to validity","robust MDP; uncertain transition matrices; rectangular uncertainty; robust dynamic programming; conservativeness",ναι,"Θεμελιώδης πηγή robust-MDP semantics και robust Bellman baseline· διαχωρίζει worst-case model uncertainty από online resilience."
SRC-91D94DB95B,υποστηρικτική,επαληθευμένη,"Safe RL; CMDP; Policy optimization; Μετρικές; Threats to validity","CPO; CMDP; auxiliary cost; constraint violation; policy divergence",ναι,"Primary CMDP πηγή για χωριστή αναφορά task return και safety cost κατά τη recovery περίοδο· όχι change detector."
SRC-8E22CBA55A,υποστηρικτική,επαληθευμένη,"Safe RL; Stability; Model uncertainty; Certification; Threats to validity","Lyapunov stability; region of attraction; Gaussian process; safe exploration; certificate revalidation",ναι,"Διακρίνει control-theoretic recovery από policy adaptation και απαιτεί revalidation safety certificates μετά από dynamics change."
SRC-6126015212,υποστηρικτική,επαληθευμένη,"Safe RL; Reachability; Returnability; Exploration; Μετρικές; Threats to validity","SNO-MDP; safe set; reachability; returnability; GP safety; early stopping",ναι,"Τεκμηριώνει ότι local safety δεν αρκεί χωρίς safe return path· structural changes απαιτούν επανέλεγχο returnability."
SRC-BB5ECDA0CD,υποστηρικτική,επαληθευμένη,"Robust planning; MCTS; Model uncertainty; Computational fairness; Threats to validity","robust MCTS; ambiguity set; transition uncertainty; reward uncertainty; simulator queries; FrozenLake",ναι,"Planning-based robust comparator· απαιτεί χωριστή αναφορά simulator-query/rollout budget και δεν αποτελεί changepoint adaptation."
SRC-80D1CDD66B,απόρριψη,επαληθευμένη,"","LLM guidance; MC dropout; policy shaping; MiniGrid",όχι,"Αφορά calibration εξωτερικού LLM trainer και όχι environmental non-stationarity· θα διεύρυνε αδικαιολόγητα το scope."
SRC-60EF27E7AD,απόρριψη,επαληθευμένη,"","cyber resilience; autonomous cyber agents; attacks; recovery metrics",όχι,"Cross-domain resilience discussion με malicious cyber threat model· οι γενικές recovery metrics καλύπτονται ήδη από direct selected sources."
SRC-0B1E2F30F6,απόρριψη,επαληθευμένη,"","hierarchical reinforcement learning; dynamic game; Q-learning; dungeon crawler",όχι,"Dynamic game events και hierarchical replanning δεν αποτελούν explicit environmental-changepoint protocol."
SRC-E59631E883,απόρριψη,επαληθευμένη,"","duplicate; hierarchical reinforcement learning; dungeon crawler",όχι,"Hosted/conversion duplicate του SRC-0B1E2F30F6· διατηρείται χωρίς διπλή καταμέτρηση."
SRC-30334BD5A0,απόρριψη,επαληθευμένη,"","HighwayEnv; documentation; autonomous driving; implementation",όχι,"Implementation documentation χωρίς controlled resilience protocol· διατηρείται μόνο ως πιθανό external-validity environment resource."
SRC-E8CAAF02BE,κύρια,επαληθευμένη,"Θεωρητικό υπόβαθρο; POMDP; Context inference; Observation uncertainty; Threats to validity","POMDP; belief state; partial observability; information gathering; latent state; prior model",ναι,"Θεμελιώνει belief-state reasoning και τη διάκριση observation uncertainty/context inference από πραγματικό environmental changepoint."
SRC-A203ABEEFE,υποστηρικτική,επαληθευμένη,"Replay memory; Adaptive baselines; Diagnostics; Computational trade-offs; Threats to validity","prioritized replay; TD error; stale data; importance sampling; buffer flush; replay ratio",ναι,"Τεκμηριώνει replay sampling/bias· στη non-stationarity απαιτεί age/regime diagnostics και oracle/detector-triggered buffer-flush ablations."
SRC-5E062C81BA,υποστηρικτική,επαληθευμένη,"Θεωρητικό υπόβαθρο; Robust RL; Zero-update evaluation; Trade-offs; Threats to validity","H-infinity; actor-disturber-critic; worst disturbance; model mismatch; parameter shift; frozen robustness",ναι,"Historical primary evidence για pre-trained worst-case robustness· απαιτεί διάκριση immediate frozen performance από post-change adaptation."
SRC-70AEC665B2,υποστηρικτική,επαληθευμένη,"Neural detection; Calibration; Μετρικές; Hyperparameter protocol; Threats to validity","calibration; ECE; MCE; reliability diagram; temperature scaling; confidence",ναι,"Μόνο για neural context/detector arm· confidence δεν ερμηνεύεται ως probability χωρίς held-out calibration."
SRC-CE71F210EE,απόρριψη,επαληθευμένη,"","SNGP; distance awareness; supervised OOD; neural uncertainty",όχι,"Υψηλής ποιότητας supervised-UQ method αλλά redundant και εκτός tabular/sequential core."
SRC-8EE2492823,απόρριψη,επαληθευμένη,"","shielding; safe RL; runtime enforcement; survey; redundancy",όχι,"Χρήσιμη survey αλλά runtime-assurance/shield semantics καλύπτονται ήδη από selected canonical sources."
SRC-1BF9FE1A37,απόρριψη,επαληθευμένη,"","AI agents; no-code; LLM workflows; tutorial; commercial video",όχι,"Commercial/tutorial LLM-agent content χωρίς RL resilience relevance ή scientific evidence tier."
SRC-93F2331D50,απόρριψη,επαληθευμένη,"","AI agent taxonomy; reflex agent; goal agent; learning agent; video",όχι,"Εισαγωγικό video taxonomy· οι ορισμοί agent/learning καλύπτονται από canonical academic sources."
SRC-B790DF867B,απόρριψη,επαληθευμένη,"","Monte Carlo; constant step size; GridWorld; lecture transcript",όχι,"Χρήσιμο διδακτικό intuition για recency αλλά όχι citation-ready primary evidence."
SRC-AE8219876F,απόρριψη,επαληθευμένη,"","duplicate; Monte Carlo; GridWorld; lecture transcript",όχι,"Alternate conversion του SRC-B790DF867B· διατηρείται χωρίς διπλή καταμέτρηση."
